Date,ML,Emerging Markets Corporate Bond Index OAS,Emerging Markets Corporate Bond Total Return Index,Emerging Markets High Grade Corporate Bond Index Yield,Euro Emerging Markets Corporate Bond Index (Yield),Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in Emerging Markets Corporate Bond Total Return Index,Future Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in IG Emerging Markets Corporate Bond Total Return Index,Future Percent change in US AA Rated Total Return Index,Future Percent change in US AAA Corporate Bond Total Return Index,Future Percent change in US B Corporate Bond Total Return Index,Future Percent change in US BB Bond Total Return Index,Future Percent change in US CCC Bond Total Return Index,Future Percent change in US Corporate BBB Total Return Index,Future Percent change in US Corporate Bond A Total Return Index,Future Percent change in US Corporate Bonds Total Return Index,IG Emerging Markets Corporate Bond Total Return Index,Percent change in Emerging Markets Corporate Bond Total Return Index,Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Percent change in IG Emerging Markets Corporate Bond Total Return Index,Percent change in US AA Rated Total Return Index,Percent change in US AAA Corporate Bond Total Return Index,Percent change in US B Corporate Bond Total Return Index,Percent change in US BB Bond Total Return Index,Percent change in US CCC Bond Total Return Index,Percent change in US Corporate BBB Total Return Index,Percent change in US Corporate Bond A Total Return Index,Percent change in US Corporate Bonds Total Return Index,US AA Bond Index Yield,US AA Rated Total Return Index,US AA-rated Bond Index OAS,US AAA Corporate Bond Total Return Index,US AAA rated Bond Index (yield),US B Corporate Bond Total Return Index,US B rated Corporate Bond Index (yield),US B-rated Bond Index OAS,US BB Bond Total Return Index,US BBB Bond Index (yield),US CCC Bond Total Return Index,US CCC-rated Bond Index Yield,US Corporate BBB Total Return Index,US Corporate Bond A Total Return Index,US Corporate Bond A rated Index (yield),US Corporate Bond Index Yield,US Corporate Bonds Total Return Index,US High Yield BB Corporate Bond Index Yield,US High Yield Corporate Bond Index (Yield),US High Yield Corporate Bond Index OAS
2001-01-01,ML,4.53,114.7,8.21,8.22,140.81,9.686137750653879,13.251899723031032,13.853262919652959,11.251189343482396,12.130008176614876,-7.700101317122597,2.2238574114953797,-17.41747218675907,7.533850248813784,9.531386745166671,9.134543122538762,106.04,14.700000000000003,40.81,6.040000000000006,-2.13013618903504,-3.5526990260636486,3.0630003480682175,1.9504876219054792,1.480658893207472,-0.8301453710787908,-2.3577393668673503,-1.8866255063116857,7.35,252.24,0.83,244.6,7.29,118.44,11.1,4.52,122.31,8.1,109.66,20.43,259.23,251.38,7.54,7.7,997.97,9.32,11.34,4.76
1975-01-01,ML,,,,,,,,,,,,,,,,-4.745098039215689,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,102.0,,,
1990-01-01,ML,,,,,,,,,13.72157957718389,13.740534077321648,,,,13.621858795372951,13.885566188197776,14.114680184425715,,,,,,,,,,,,9.757597785668347,,100.28,,100.36,,,,,,,,,100.28,100.32,,,392.57,,,
1983-01-01,ML,,,,,,,,,,,,,,,,35.529983560860565,,,,,,,,,,,,2.2958251078452774,,,,,,,,,,,,,,,,,139.91,,,
1984-01-01,ML,,,,,,,,,,,,,,,,9.32391097985445,,,,,,,,,,,,35.529983560860565,,,,,,,,,,,,,,,,,189.62,,,
1994-01-01,ML,,,,,,,,,11.863232793904668,10.837595907928382,,,,13.047346679377187,11.886875828546186,12.430106833819426,,,,,8.640032836229302,8.467993619529793,,,,10.158218986278348,9.052733030428202,9.118562410985882,,158.81,,156.4,,,,,,,,,157.35,158.41,,,620.59,,,
1976-01-01,ML,,,,,,,,,,,,,,,,15.706051873198854,,,,,,,,,,,,-4.745098039215689,,,,,,,,,,,,,,,,,97.16,,,
1980-01-01,ML,,,,,,,,,,,,,,,,-2.2068866364747475,,,,,,,,,,,,0.33900750144260483,,,,,,,,,,,,,,,,,139.11,,,
1997-01-01,ML,,,,,,,,,2.639183201695251,3.139810426540277,,,,3.983516483516482,3.240897034000482,3.3900579444952688,,,,,21.95465758252085,20.628870890900437,,,,21.837488457987074,20.94610359309379,21.55068875016682,,207.64,,202.56,,,,,,,,,211.12,207.35,,,819.75,,,
1998-01-01,ML,,,,,,,,,10.402590090090085,10.55427914991385,12.86,12.58,15.329999999999998,11.192092196966243,9.898631288830757,10.386530429242288,,,,,2.639183201695251,3.139810426540277,,,,3.983516483516482,3.240897034000482,3.3900579444952688,6.82,213.12,0.42,208.92,6.72,100.0,10.01,3.61,100.0,7.26,100.0,13.97,219.53,214.07,6.97,7.09,847.54,8.36,9.55,3.13
2002-01-01,ML,5.49,125.81,7.44,8.1,159.47,6.096494714251639,11.030287828431682,10.585604240868042,10.701304254864219,9.410434972836986,0.8781558726674058,11.061345277133498,-0.938604240282695,10.482135170038752,10.98278492046198,10.703038204805663,120.73,9.686137750653879,13.251899723031032,13.853262919652959,11.251189343482396,12.130008176614876,-7.700101317122597,2.2238574114953797,-17.41747218675907,7.533850248813784,9.531386745166671,9.134543122538762,6.59,280.62,1.3,274.27,6.3,109.32,14.79,9.6,125.03,7.97,90.56,29.09,278.76,275.34,7.15,7.31,1089.13,9.91,14.36,9.16
1986-01-01,ML,,,,,,,,,,,,,,,,25.354919053549196,,,,,,,,,,,,16.208393632416783,,,,,,,,,,,,,,,,,240.9,,,
1974-01-01,ML,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,
2008-01-01,ML,1.55,203.92,5.66,5.16,293.95,3.3052177324441003,1.0648069399557734,4.698775859304015,5.0978258181008576,7.28991649321664,3.07176766266406,2.1969735056055524,0.3675278348286555,4.418001599495921,4.238568782295029,4.6431956585036485,187.07,6.136470098370891,5.817344036862366,4.345158411423467,4.281771518481267,4.463888088439464,11.42572655423487,9.901099508260119,18.632982816106693,4.558585039529701,4.272244389661205,4.376305358516923,5.38,404.29,0.61,398.77,5.34,179.05,7.59,2.86,198.91,5.98,185.02,10.0,412.63,410.28,5.6,5.68,1614.19,6.7,7.63,2.89
2006-01-01,ML,1.82,181.37,4.82,4.33,255.93,5.932623917957761,8.541398038526165,3.7319909737892654,2.341481442373688,2.6652681404980973,3.7378954163976705,3.110579388138784,-0.5420572667559431,0.9877680536363207,2.6934620905650664,1.9721746010813717,172.83,9.140690817186183,10.343192204880577,6.579921065614218,3.9571899012074687,4.526031710333961,10.437758448595478,9.330426658361873,15.752565143574227,6.210420460413657,4.963975563652304,5.414610412177651,4.27,378.82,0.54,371.82,4.29,154.9,6.8,2.92,175.53,5.07,156.81,10.12,390.78,383.15,4.57,4.71,1516.6,5.95,6.98,3.1
1982-01-01,ML,,,,,,,,,,,,,,,,2.2958251078452774,,,,,,,,,,,,0.5366068803293284,,,,,,,,,,,,,,,,,136.77,,,
2004-01-01,ML,5.22,145.11,5.58,9.14,200.64,14.5200192957067,15.600079744816595,7.170709140175795,4.4395402825943515,5.102673954793925,26.00844488365824,19.447957741239502,60.98633392751039,11.51421470570407,6.05787669242837,8.309744639845828,151.31,8.712915792628127,13.317519484920357,13.332334656580041,12.316111379365863,12.786590242601974,0.9339862169024313,-3.204666570646707,-6.1977483000780165,7.130333138515481,12.631716735388448,10.1700257112051,3.73,348.91,0.81,338.45,4.23,111.31,11.24,8.18,134.41,6.0,84.15,22.0,329.94,344.18,4.5,5.08,1328.32,9.24,11.93,8.9
2015-01-01,ML,3.31,322.08,3.96,3.37,465.31,3.5891703924490823,-1.5817412047882087,7.193184269178227,7.063930544593528,9.428571428571422,1.3245262138608327,5.337752886044122,-2.569479393837722,7.700577879317286,7.367347996613506,7.513981523675383,278.18,-0.9228497600590625,0.954633225575487,-1.1899264732000023,-1.914279681891758,-4.269770174021586,7.466458542386752,5.194180593964162,12.961910176236504,-0.952479552748723,-1.8168555336907164,-1.4557716487858985,2.58,557.48,0.7,521.5,2.94,289.16,5.8,3.86,349.96,3.94,357.66,9.22,669.69,578.77,2.94,3.35,2413.9,4.75,5.93,4.0
2000-01-01,ML,9.08,100.0,8.48,11.37,100.0,14.700000000000003,40.81,6.040000000000006,-2.13013618903504,-3.5526990260636486,3.0630003480682175,1.9504876219054792,1.480658893207472,-0.8301453710787908,-2.3577393668673503,-1.8866255063116857,100.0,,,,9.537166900420768,9.802138805905535,1.8252702463228798,6.564220998401138,-6.303650394520069,7.0872593199508325,9.432117657060274,8.720886732152582,5.67,257.73,0.74,253.61,5.6,114.92,10.79,5.89,119.97,6.7,108.06,18.03,261.4,257.45,5.97,6.15,1017.16,8.07,10.53,5.66
1978-01-01,ML,,,,,,,,,,,,,,,,3.803533992213225,,,,,,,,,,,,18.80448318804483,,,,,,,,,,,,,,,,,133.56,,,
2013-01-01,ML,5.15,281.08,4.53,6.11,393.13,15.653906361178313,17.2411161702236,10.42557364189056,7.440453686200381,3.9737374508531382,15.016670941266991,14.358392630023022,20.264367379496345,11.975423139346153,9.819848352180644,10.36788393520918,254.95,4.103703703703697,2.4042719458192288,6.7227594290259125,6.250502129027076,9.110976904975127,4.647729814359197,6.117312322171168,-1.3970037453183588,8.124272540066254,7.388364276568504,7.508052992322412,2.86,529.0,1.67,523.94,2.07,233.94,8.29,7.27,290.91,4.55,263.27,14.22,603.82,536.77,3.62,3.88,2219.45,6.27,8.29,7.23
2003-01-01,ML,6.01,133.48,6.87,14.13,177.06,8.712915792628127,13.317519484920357,13.332334656580041,12.316111379365863,12.786590242601974,0.9339862169024313,-3.204666570646707,-6.1977483000780165,7.130333138515481,12.631716735388448,10.1700257112051,133.51,6.096494714251639,11.030287828431682,10.585604240868042,10.701304254864219,9.410434972836986,0.8781558726674058,11.061345277133498,-0.938604240282695,10.482135170038752,10.98278492046198,10.703038204805663,5.18,310.65,0.86,300.08,5.04,110.28,11.51,6.9,138.86,6.99,89.71,27.21,307.98,305.58,6.0,6.25,1205.7,9.05,12.81,8.24
1973-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,ML,,,,,,,,,-4.159864902898967,-3.132391116238827,,,,-2.586013042500559,-3.27239900699617,-3.342267066057078,,,,,11.863232793904668,10.837595907928382,,,,13.047346679377187,11.886875828546186,12.430106833819426,,177.65,,173.35,,,,,,,,,177.88,177.24,,,697.73,,,
2005-01-01,ML,2.38,166.18,4.94,5.41,231.94,9.140690817186183,10.343192204880577,6.579921065614218,3.9571899012074687,4.526031710333961,10.437758448595478,9.330426658361873,15.752565143574227,6.210420460413657,4.963975563652304,5.414610412177651,162.16,14.5200192957067,15.600079744816595,7.170709140175795,4.4395402825943515,5.102673954793925,26.00844488365824,19.447957741239502,60.98633392751039,11.51421470570407,6.05787669242837,8.309744639845828,3.61,364.4,0.48,355.72,4.04,140.26,7.47,3.88,160.55,4.92,135.47,11.64,367.93,365.03,4.13,4.45,1438.7,6.05,7.69,4.18
2010-01-01,ML,12.83,172.63,10.19,15.25,220.53,39.112552858715176,53.171904049335694,21.72088142707241,9.144125005900946,-0.6540470556721297,47.63625414031918,45.21490320224036,96.7879898751855,31.424992824152596,15.923985930818088,19.76009860354007,181.07,-18.052786480584828,-25.767470041739593,-7.551312161748197,-0.2918333725582378,4.707367240089764,-28.019506908696833,-19.19519874065329,-38.30371567043619,-11.054634916214082,-7.594640727663856,-6.817670530565854,5.82,423.66,4.19,447.98,5.07,132.84,18.14,16.59,164.26,9.67,114.57,31.08,383.23,395.19,7.45,7.83,1573.98,14.63,19.57,18.12
1992-01-01,ML,,,,,,,,,17.953683531025575,16.895014187271997,,,,18.914418914418913,18.107163183998697,18.23908523908524,,,,,8.672395650648895,8.05957074025404,,,,5.4239073196419225,7.649890590809623,7.370864770748691,,123.93,,123.35,,,,,,,,,120.12,122.99,,,481.0,,,
1993-01-01,ML,,,,,,,,,8.640032836229302,8.467993619529793,,,,10.158218986278348,9.052733030428202,9.118562410985882,,,,,17.953683531025575,16.895014187271997,,,,18.914418914418913,18.107163183998697,18.23908523908524,,146.18,,144.19,,,,,,,,,142.84,145.26,,,568.73,,,
1985-01-01,ML,,,,,,,,,,,,,,,,16.208393632416783,,,,,,,,,,,,9.32391097985445,,,,,,,,,,,,,,,,,207.3,,,
1977-01-01,ML,,,,,,,,,,,,,,,,18.80448318804483,,,,,,,,,,,,15.706051873198854,,,,,,,,,,,,,,,,,112.42,,,
2012-01-01,ML,3.39,270.0,4.55,5.45,383.9,4.103703703703697,2.4042719458192288,6.7227594290259125,6.250502129027076,9.110976904975127,4.647729814359197,6.117312322171168,-1.3970037453183588,8.124272540066254,7.388364276568504,7.508052992322412,238.89,12.429731417863831,13.650492909796014,8.38929219600725,7.673010380622841,7.895742051454889,13.98633489700184,14.928939756005526,18.42455424465537,10.87837032919033,9.106784248668465,9.519893899204234,3.18,497.88,1.1,480.19,2.9,223.55,7.68,5.46,274.14,4.72,267.0,10.66,558.45,499.84,3.93,4.09,2064.45,6.37,7.6,5.41
1999-01-01,ML,,,,,,,,,9.537166900420768,9.802138805905535,1.8252702463228798,6.564220998401138,-6.303650394520069,7.0872593199508325,9.432117657060274,8.720886732152582,,,,,10.402590090090085,10.55427914991385,12.86,12.58,15.329999999999998,11.192092196966243,9.898631288830757,10.386530429242288,6.35,235.29,0.51,230.97,6.3,112.86,9.45,3.47,112.58,6.8,115.33,13.07,244.1,235.26,6.51,6.56,935.57,7.5,8.85,2.96
1988-01-01,ML,,,,,,,,,,,,,,,,1.8422551252847457,,,,,,,,,,,,16.299092655142715,,,,,,,,,,,,,,,,,351.2,,,
