Code,Name
CURRFX/MGFRUB,Currency Exchange Rates - MGF vs RUB
CURRFX/ROLRUB,Currency Exchange Rates - ROL vs RUB
CURRFX/GHCGBP,Currency Exchange Rates - GHC vs GBP
CURRFX/ZWDGBP,Currency Exchange Rates - ZWD vs GBP
CURRFX/CNYMZM,Currency Exchange Rates - CNY vs MZM
CURRFX/GHCIDR,Currency Exchange Rates - GHC vs IDR
CURRFX/INRMGF,Currency Exchange Rates - INR vs MGF
CURRFX/CNYGHC,Currency Exchange Rates - CNY vs GHC
CURRFX/SRGIDR,Currency Exchange Rates - SRG vs IDR
CURRFX/MGFGBP,Currency Exchange Rates - MGF vs GBP
CURRFX/SKKGBP,Currency Exchange Rates - SKK vs GBP
CURRFX/IDRMZM,Currency Exchange Rates - IDR vs MZM
CURRFX/RUBSKK,Currency Exchange Rates - RUB vs SKK
CURRFX/IDRMGF,Currency Exchange Rates - IDR vs MGF
CURRFX/MZMRUB,Currency Exchange Rates - MZM vs RUB
CURRFX/CNYMGF,Currency Exchange Rates - CNY vs MGF
CURRFX/EEKCNY,Currency Exchange Rates - EEK vs CNY
CURRFX/AZMIDR,Currency Exchange Rates - AZM vs IDR
CURRFX/MZMIDR,Currency Exchange Rates - MZM vs IDR
CURRFX/VEBCNY,Currency Exchange Rates - VEB vs CNY
CURRFX/GHCRUB,Currency Exchange Rates - GHC vs RUB
CURRFX/INRTMM,Currency Exchange Rates - INR vs TMM
CURRFX/RUBEEK,Currency Exchange Rates - RUB vs EEK
CURRFX/TMMCNY,Currency Exchange Rates - TMM vs CNY
CURRFX/RUBVEB,Currency Exchange Rates - RUB vs VEB
CURRFX/SRGCNY,Currency Exchange Rates - SRG vs CNY
CURRFX/GBPMZM,Currency Exchange Rates - GBP vs MZM
CURRFX/VEBIDR,Currency Exchange Rates - VEB vs IDR
CURRFX/IDRZWD,Currency Exchange Rates - IDR vs ZWD
CURRFX/MGFCNY,Currency Exchange Rates - MGF vs CNY
CURRFX/AZMGBP,Currency Exchange Rates - AZM vs GBP
CURRFX/RUBSDD,Currency Exchange Rates - RUB vs SDD
CURRFX/RUBZWD,Currency Exchange Rates - RUB vs ZWD
CURRFX/INRROL,Currency Exchange Rates - INR vs ROL
CURRFX/MZMINR,Currency Exchange Rates - MZM vs INR
CURRFX/EEKGBP,Currency Exchange Rates - EEK vs GBP
CURRFX/RUBMZM,Currency Exchange Rates - RUB vs MZM
CURRFX/SKKINR,Currency Exchange Rates - SKK vs INR
CURRFX/SKKRUB,Currency Exchange Rates - SKK vs RUB
CURRFX/ZWDIDR,Currency Exchange Rates - ZWD vs IDR
CURRFX/ROLGBP,Currency Exchange Rates - ROL vs GBP
CURRFX/GBPMGF,Currency Exchange Rates - GBP vs MGF
CURRFX/EEKINR,Currency Exchange Rates - EEK vs INR
CURRFX/IDRGHC,Currency Exchange Rates - IDR vs GHC
CURRFX/ROLCNY,Currency Exchange Rates - ROL vs CNY
CURRFX/GHCINR,Currency Exchange Rates - GHC vs INR
CURRFX/IDRTMM,Currency Exchange Rates - IDR vs TMM
CURRFX/MGFINR,Currency Exchange Rates - MGF vs INR
CURRFX/CNYROL,Currency Exchange Rates - CNY vs ROL
CURRFX/GBPROL,Currency Exchange Rates - GBP vs ROL
CURRFX/INRSKK,Currency Exchange Rates - INR vs SKK
CURRFX/RUBTMM,Currency Exchange Rates - RUB vs TMM
CURRFX/SKKUSD,Currency Exchange Rates - SKK vs USD
CURRFX/SGDEUR,Currency Exchange Rates - SGD vs EUR
CURRFX/USDPKR,Currency Exchange Rates - USD vs PKR
CURRFX/CNYLVL,Currency Exchange Rates - CNY vs LVL
CURRFX/AUDCLP,Currency Exchange Rates - AUD vs CLP
CURRFX/BAMUSD,Currency Exchange Rates - BAM vs USD
CURRFX/EURBND,Currency Exchange Rates - EUR vs BND
CURRFX/EURCHF,Currency Exchange Rates - EUR vs CHF
CURRFX/EURKPW,Currency Exchange Rates - EUR vs KPW
CURRFX/EURMDL,Currency Exchange Rates - EUR vs MDL
CURRFX/EURSGD,Currency Exchange Rates - EUR vs SGD
CURRFX/EURTOP,Currency Exchange Rates - EUR vs TOP
CURRFX/EURTJS,Currency Exchange Rates - EUR vs TJS
CURRFX/USDBYR,Currency Exchange Rates - USD vs BYR
CURRFX/USDARS,Currency Exchange Rates - USD vs ARS
CURRFX/KWDUSD,Currency Exchange Rates - KWD vs USD
CURRFX/MOPAUD,Currency Exchange Rates - MOP vs AUD
CURRFX/MXNEUR,Currency Exchange Rates - MXN vs EUR
CURRFX/AUDKHR,Currency Exchange Rates - AUD vs KHR
CURRFX/ALLUSD,Currency Exchange Rates - ALL vs USD
CURRFX/EURNPR,Currency Exchange Rates - EUR vs NPR
CURRFX/EURJPY,Currency Exchange Rates - EUR vs JPY
CURRFX/EURJOD,Currency Exchange Rates - EUR vs JOD
CURRFX/RONAUD,Currency Exchange Rates - RON vs AUD
CURRFX/BNDUSD,Currency Exchange Rates - BND vs USD
CURRFX/AUDCDF,Currency Exchange Rates - AUD vs CDF
CURRFX/EURDZD,Currency Exchange Rates - EUR vs DZD
CURRFX/CUPEUR,Currency Exchange Rates - CUP vs EUR
CURRFX/HUFEUR,Currency Exchange Rates - HUF vs EUR
CURRFX/LBPUSD,Currency Exchange Rates - LBP vs USD
CURRFX/OMREUR,Currency Exchange Rates - OMR vs EUR
CURRFX/USDCDF,Currency Exchange Rates - USD vs CDF
CURRFX/STDAUD,Currency Exchange Rates - STD vs AUD
CURRFX/SCRAUD,Currency Exchange Rates - SCR vs AUD
CURRFX/EURCAD,Currency Exchange Rates - EUR vs CAD
CURRFX/AUDNGN,Currency Exchange Rates - AUD vs NGN
CURRFX/AUDSBD,Currency Exchange Rates - AUD vs SBD
CURRFX/USDUZS,Currency Exchange Rates - USD vs UZS
CURRFX/AUDCRC,Currency Exchange Rates - AUD vs CRC
CURRFX/DKKAUD,Currency Exchange Rates - DKK vs AUD
CURRFX/KWDEUR,Currency Exchange Rates - KWD vs EUR
CURRFX/SAREUR,Currency Exchange Rates - SAR vs EUR
CURRFX/USDRON,Currency Exchange Rates - USD vs RON
CURRFX/USDMXN,Currency Exchange Rates - USD vs MXN
CURRFX/USDGNF,Currency Exchange Rates - USD vs GNF
CURRFX/USDTTD,Currency Exchange Rates - USD vs TTD
CURRFX/EURBDT,Currency Exchange Rates - EUR vs BDT
CURRFX/EUREGP,Currency Exchange Rates - EUR vs EGP
CURRFX/EURRON,Currency Exchange Rates - EUR vs RON
CURRFX/EURWST,Currency Exchange Rates - EUR vs WST
CURRFX/AUDTOP,Currency Exchange Rates - AUD vs TOP
CURRFX/AUDMAD,Currency Exchange Rates - AUD vs MAD
CURRFX/BWPUSD,Currency Exchange Rates - BWP vs USD
CURRFX/EURAOA,Currency Exchange Rates - EUR vs AOA
CURRFX/MOPUSD,Currency Exchange Rates - MOP vs USD
CURRFX/MWKEUR,Currency Exchange Rates - MWK vs EUR
CURRFX/TWDUSD,Currency Exchange Rates - TWD vs USD
CURRFX/USDSZL,Currency Exchange Rates - USD vs SZL
CURRFX/USDBTN,Currency Exchange Rates - USD vs BTN
CURRFX/AUDUZS,Currency Exchange Rates - AUD vs UZS
CURRFX/AUDSGD,Currency Exchange Rates - AUD vs SGD
CURRFX/GHSAUD,Currency Exchange Rates - GHS vs AUD
CURRFX/MMKAUD,Currency Exchange Rates - MMK vs AUD
CURRFX/AUDAFN,Currency Exchange Rates - AUD vs AFN
CURRFX/AUDTMT,Currency Exchange Rates - AUD vs TMT
CURRFX/AUDZAR,Currency Exchange Rates - AUD vs ZAR
CURRFX/EURLSL,Currency Exchange Rates - EUR vs LSL
CURRFX/NPRAUD,Currency Exchange Rates - NPR vs AUD
CURRFX/EURLBP,Currency Exchange Rates - EUR vs LBP
CURRFX/EURLYD,Currency Exchange Rates - EUR vs LYD
CURRFX/EURDKK,Currency Exchange Rates - EUR vs DKK
CURRFX/EURSVC,Currency Exchange Rates - EUR vs SVC
CURRFX/EURMKD,Currency Exchange Rates - EUR vs MKD
CURRFX/USDCVE,Currency Exchange Rates - USD vs CVE
CURRFX/PHPUSD,Currency Exchange Rates - PHP vs USD
CURRFX/SHPEUR,Currency Exchange Rates - SHP vs EUR
CURRFX/LBPEUR,Currency Exchange Rates - LBP vs EUR
CURRFX/USDEGP,Currency Exchange Rates - USD vs EGP
CURRFX/EURROL,Currency Exchange Rates - EUR vs ROL
CURRFX/AUDAOA,Currency Exchange Rates - AUD vs AOA
CURRFX/EURGHC,Currency Exchange Rates - EUR vs GHC
CURRFX/ANGEUR,Currency Exchange Rates - ANG vs EUR
CURRFX/MYRAUD,Currency Exchange Rates - MYR vs AUD
CURRFX/MGFAUD,Currency Exchange Rates - MGF vs AUD
CURRFX/EURVEB,Currency Exchange Rates - EUR vs VEB
CURRFX/TMMGBP,Currency Exchange Rates - TMM vs GBP
CURRFX/GBPEEK,Currency Exchange Rates - GBP vs EEK
CURRFX/CNYLTL,Currency Exchange Rates - CNY vs LTL
CURRFX/GBPZMK,Currency Exchange Rates - GBP vs ZMK
CURRFX/CNYZMK,Currency Exchange Rates - CNY vs ZMK
CURRFX/GBPFRF,Currency Exchange Rates - GBP vs FRF
CURRFX/GBPLTL,Currency Exchange Rates - GBP vs LTL
CURRFX/GBPLVL,Currency Exchange Rates - GBP vs LVL
CURRFX/IDRLVL,Currency Exchange Rates - IDR vs LVL
CURRFX/INRFRF,Currency Exchange Rates - INR vs FRF
CURRFX/INRLTL,Currency Exchange Rates - INR vs LTL
CURRFX/INRLVL,Currency Exchange Rates - INR vs LVL
CURRFX/IDRFRF,Currency Exchange Rates - IDR vs FRF
CURRFX/IDRLTL,Currency Exchange Rates - IDR vs LTL
CURRFX/INRZMK,Currency Exchange Rates - INR vs ZMK
CURRFX/LTLGBP,Currency Exchange Rates - LTL vs GBP
CURRFX/LTLCNY,Currency Exchange Rates - LTL vs CNY
CURRFX/LTLIDR,Currency Exchange Rates - LTL vs IDR
CURRFX/LTLRUB,Currency Exchange Rates - LTL vs RUB
CURRFX/LVLIDR,Currency Exchange Rates - LVL vs IDR
CURRFX/LVLGBP,Currency Exchange Rates - LVL vs GBP
CURRFX/LVLINR,Currency Exchange Rates - LVL vs INR
CURRFX/LVLRUB,Currency Exchange Rates - LVL vs RUB
CURRFX/RUBFRF,Currency Exchange Rates - RUB vs FRF
CURRFX/RUBLTL,Currency Exchange Rates - RUB vs LTL
CURRFX/RUBLVL,Currency Exchange Rates - RUB vs LVL
CURRFX/RUBZMK,Currency Exchange Rates - RUB vs ZMK
CURRFX/ZMKGBP,Currency Exchange Rates - ZMK vs GBP
CURRFX/ZMKCNY,Currency Exchange Rates - ZMK vs CNY
CURRFX/ZMKIDR,Currency Exchange Rates - ZMK vs IDR
CURRFX/ZMKINR,Currency Exchange Rates - ZMK vs INR
CURRFX/ZMKRUB,Currency Exchange Rates - ZMK vs RUB
CURRFX/CLPCNY,Currency Exchange Rates - CLP vs CNY
CURRFX/ETBCNY,Currency Exchange Rates - ETB vs CNY
CURRFX/EURZAR,Currency Exchange Rates - EUR vs ZAR
CURRFX/CRCGBP,Currency Exchange Rates - CRC vs GBP
CURRFX/GBPBBD,Currency Exchange Rates - GBP vs BBD
CURRFX/INRSAR,Currency Exchange Rates - INR vs SAR
CURRFX/IRRINR,Currency Exchange Rates - IRR vs INR
CURRFX/AUDSHP,Currency Exchange Rates - AUD vs SHP
CURRFX/GNFEUR,Currency Exchange Rates - GNF vs EUR
CURRFX/HUFAUD,Currency Exchange Rates - HUF vs AUD
CURRFX/DJFEUR,Currency Exchange Rates - DJF vs EUR
CURRFX/EURAZN,Currency Exchange Rates - EUR vs AZN
CURRFX/JMDUSD,Currency Exchange Rates - JMD vs USD
CURRFX/UGXEUR,Currency Exchange Rates - UGX vs EUR
CURRFX/USDROL,Currency Exchange Rates - USD vs ROL
CURRFX/EEKUSD,Currency Exchange Rates - EEK vs USD
CURRFX/EEKAUD,Currency Exchange Rates - EEK vs AUD
CURRFX/EURHUF,Currency Exchange Rates - EUR vs HUF
CURRFX/USDMZM,Currency Exchange Rates - USD vs MZM
CURRFX/MZMEUR,Currency Exchange Rates - MZM vs EUR
CURRFX/AZMEUR,Currency Exchange Rates - AZM vs EUR
CURRFX/GHCEUR,Currency Exchange Rates - GHC vs EUR
CURRFX/AUDSDD,Currency Exchange Rates - AUD vs SDD
CURRFX/ANGAUD,Currency Exchange Rates - ANG vs AUD
CURRFX/CHFCAD,Currency Exchange Rates - CHF vs CAD
CURRFX/AUDBAM,Currency Exchange Rates - AUD vs BAM
CURRFX/AUDHTG,Currency Exchange Rates - AUD vs HTG
CURRFX/AUDXOF,Currency Exchange Rates - AUD vs XOF
CURRFX/AUDPGK,Currency Exchange Rates - AUD vs PGK
CURRFX/CHFNZD,Currency Exchange Rates - CHF vs NZD
CURRFX/EURNGN,Currency Exchange Rates - EUR vs NGN
CURRFX/EURSBD,Currency Exchange Rates - EUR vs SBD
CURRFX/USDRWF,Currency Exchange Rates - USD vs RWF
CURRFX/TMTEUR,Currency Exchange Rates - TMT vs EUR
CURRFX/UZSAUD,Currency Exchange Rates - UZS vs AUD
CURRFX/USDKGS,Currency Exchange Rates - USD vs KGS
CURRFX/ALLCNY,Currency Exchange Rates - ALL vs CNY
CURRFX/AMDIDR,Currency Exchange Rates - AMD vs IDR
CURRFX/BDTGBP,Currency Exchange Rates - BDT vs GBP
CURRFX/ANGCNY,Currency Exchange Rates - ANG vs CNY
CURRFX/AMDINR,Currency Exchange Rates - AMD vs INR
CURRFX/ANGINR,Currency Exchange Rates - ANG vs INR
CURRFX/AOAGBP,Currency Exchange Rates - AOA vs GBP
CURRFX/AUDIDR,Currency Exchange Rates - AUD vs IDR
CURRFX/ANGIDR,Currency Exchange Rates - ANG vs IDR
CURRFX/AOARUB,Currency Exchange Rates - AOA vs RUB
CURRFX/AOAIDR,Currency Exchange Rates - AOA vs IDR
CURRFX/ARSINR,Currency Exchange Rates - ARS vs INR
CURRFX/AUDXAF,Currency Exchange Rates - AUD vs XAF
CURRFX/AWGGBP,Currency Exchange Rates - AWG vs GBP
CURRFX/BBDEUR,Currency Exchange Rates - BBD vs EUR
CURRFX/AWGCNY,Currency Exchange Rates - AWG vs CNY
CURRFX/AWGRUB,Currency Exchange Rates - AWG vs RUB
CURRFX/BAMGBP,Currency Exchange Rates - BAM vs GBP
CURRFX/BAMIDR,Currency Exchange Rates - BAM vs IDR
CURRFX/BDTINR,Currency Exchange Rates - BDT vs INR
CURRFX/BDTCNY,Currency Exchange Rates - BDT vs CNY
CURRFX/RONGBP,Currency Exchange Rates - RON vs GBP
CURRFX/BDTRUB,Currency Exchange Rates - BDT vs RUB
CURRFX/BGNRUB,Currency Exchange Rates - BGN vs RUB
CURRFX/BGNINR,Currency Exchange Rates - BGN vs INR
CURRFX/BGNIDR,Currency Exchange Rates - BGN vs IDR
CURRFX/BHDCNY,Currency Exchange Rates - BHD vs CNY
CURRFX/BHDGBP,Currency Exchange Rates - BHD vs GBP
CURRFX/BIFCNY,Currency Exchange Rates - BIF vs CNY
CURRFX/BIFRUB,Currency Exchange Rates - BIF vs RUB
CURRFX/BIFIDR,Currency Exchange Rates - BIF vs IDR
CURRFX/BMDCNY,Currency Exchange Rates - BMD vs CNY
CURRFX/BMDRUB,Currency Exchange Rates - BMD vs RUB
CURRFX/BNDGBP,Currency Exchange Rates - BND vs GBP
CURRFX/BNDINR,Currency Exchange Rates - BND vs INR
CURRFX/BOBINR,Currency Exchange Rates - BOB vs INR
CURRFX/BOBCNY,Currency Exchange Rates - BOB vs CNY
CURRFX/BOBRUB,Currency Exchange Rates - BOB vs RUB
CURRFX/BOBIDR,Currency Exchange Rates - BOB vs IDR
CURRFX/BRLRUB,Currency Exchange Rates - BRL vs RUB
CURRFX/BRLINR,Currency Exchange Rates - BRL vs INR
CURRFX/CNYHKD,Currency Exchange Rates - CNY vs HKD
CURRFX/BSDRUB,Currency Exchange Rates - BSD vs RUB
CURRFX/BTNCNY,Currency Exchange Rates - BTN vs CNY
CURRFX/BWPCNY,Currency Exchange Rates - BWP vs CNY
CURRFX/BWPRUB,Currency Exchange Rates - BWP vs RUB
CURRFX/BZDIDR,Currency Exchange Rates - BZD vs IDR
CURRFX/BZDRUB,Currency Exchange Rates - BZD vs RUB
CURRFX/CADINR,Currency Exchange Rates - CAD vs INR
CURRFX/CDFGBP,Currency Exchange Rates - CDF vs GBP
CURRFX/CDFINR,Currency Exchange Rates - CDF vs INR
CURRFX/CADRUB,Currency Exchange Rates - CAD vs RUB
CURRFX/CNYAMD,Currency Exchange Rates - CNY vs AMD
CURRFX/CHFIDR,Currency Exchange Rates - CHF vs IDR
CURRFX/CHFGBP,Currency Exchange Rates - CHF vs GBP
CURRFX/CNYAFN,Currency Exchange Rates - CNY vs AFN
CURRFX/CNYBYR,Currency Exchange Rates - CNY vs BYR
CURRFX/CHFRUB,Currency Exchange Rates - CHF vs RUB
CURRFX/CNYALL,Currency Exchange Rates - CNY vs ALL
CURRFX/CNYCDF,Currency Exchange Rates - CNY vs CDF
CURRFX/CLPIDR,Currency Exchange Rates - CLP vs IDR
CURRFX/CNYCUP,Currency Exchange Rates - CNY vs CUP
CURRFX/CNYDZD,Currency Exchange Rates - CNY vs DZD
CURRFX/CNYGIP,Currency Exchange Rates - CNY vs GIP
CURRFX/CNYHNL,Currency Exchange Rates - CNY vs HNL
CURRFX/CNYINR,Currency Exchange Rates - CNY vs INR
CURRFX/CNYIQD,Currency Exchange Rates - CNY vs IQD
CURRFX/GBPCOP,Currency Exchange Rates - GBP vs COP
CURRFX/CNYKRW,Currency Exchange Rates - CNY vs KRW
CURRFX/CNYLKR,Currency Exchange Rates - CNY vs LKR
CURRFX/CNYLRD,Currency Exchange Rates - CNY vs LRD
CURRFX/CNYLBP,Currency Exchange Rates - CNY vs LBP
CURRFX/CNYMGA,Currency Exchange Rates - CNY vs MGA
CURRFX/CNYMYR,Currency Exchange Rates - CNY vs MYR
CURRFX/CNYMVR,Currency Exchange Rates - CNY vs MVR
CURRFX/CNYMZN,Currency Exchange Rates - CNY vs MZN
CURRFX/CNYNPR,Currency Exchange Rates - CNY vs NPR
CURRFX/CNYNOK,Currency Exchange Rates - CNY vs NOK
CURRFX/CNYMXN,Currency Exchange Rates - CNY vs MXN
CURRFX/CNYPKR,Currency Exchange Rates - CNY vs PKR
CURRFX/CNYPGK,Currency Exchange Rates - CNY vs PGK
CURRFX/CNYPLN,Currency Exchange Rates - CNY vs PLN
CURRFX/CNYSAR,Currency Exchange Rates - CNY vs SAR
CURRFX/CNYRUB,Currency Exchange Rates - CNY vs RUB
CURRFX/CNYSGD,Currency Exchange Rates - CNY vs SGD
CURRFX/CNYSTD,Currency Exchange Rates - CNY vs STD
CURRFX/GBPPKR,Currency Exchange Rates - GBP vs PKR
CURRFX/CNYSHP,Currency Exchange Rates - CNY vs SHP
CURRFX/GBPCDF,Currency Exchange Rates - GBP vs CDF
CURRFX/CNYSYP,Currency Exchange Rates - CNY vs SYP
CURRFX/CNYTTD,Currency Exchange Rates - CNY vs TTD
CURRFX/CNYVUV,Currency Exchange Rates - CNY vs VUV
CURRFX/CNYUZS,Currency Exchange Rates - CNY vs UZS
CURRFX/CNYUGX,Currency Exchange Rates - CNY vs UGX
CURRFX/CNYWST,Currency Exchange Rates - CNY vs WST
CURRFX/CZKINR,Currency Exchange Rates - CZK vs INR
CURRFX/CNYXOF,Currency Exchange Rates - CNY vs XOF
CURRFX/CNYTZS,Currency Exchange Rates - CNY vs TZS
CURRFX/COPCNY,Currency Exchange Rates - COP vs CNY
CURRFX/CUPRUB,Currency Exchange Rates - CUP vs RUB
CURRFX/CVEGBP,Currency Exchange Rates - CVE vs GBP
CURRFX/CVEIDR,Currency Exchange Rates - CVE vs IDR
CURRFX/DKKRUB,Currency Exchange Rates - DKK vs RUB
CURRFX/GBPKGS,Currency Exchange Rates - GBP vs KGS
CURRFX/DOPIDR,Currency Exchange Rates - DOP vs IDR
CURRFX/EURBOB,Currency Exchange Rates - EUR vs BOB
CURRFX/EURKWD,Currency Exchange Rates - EUR vs KWD
CURRFX/DOPINR,Currency Exchange Rates - DOP vs INR
CURRFX/ECSRUB,Currency Exchange Rates - ECS vs RUB
CURRFX/ECSIDR,Currency Exchange Rates - ECS vs IDR
CURRFX/EGPGBP,Currency Exchange Rates - EGP vs GBP
CURRFX/ETBGBP,Currency Exchange Rates - ETB vs GBP
CURRFX/EURINR,Currency Exchange Rates - EUR vs INR
CURRFX/FJDGBP,Currency Exchange Rates - FJD vs GBP
CURRFX/FKPRUB,Currency Exchange Rates - FKP vs RUB
CURRFX/GBPALL,Currency Exchange Rates - GBP vs ALL
CURRFX/GBPAZN,Currency Exchange Rates - GBP vs AZN
CURRFX/GBPBND,Currency Exchange Rates - GBP vs BND
CURRFX/GBPBMD,Currency Exchange Rates - GBP vs BMD
CURRFX/GBPBZD,Currency Exchange Rates - GBP vs BZD
CURRFX/GBPCAD,Currency Exchange Rates - GBP vs CAD
CURRFX/GBPDKK,Currency Exchange Rates - GBP vs DKK
CURRFX/GBPHNL,Currency Exchange Rates - GBP vs HNL
CURRFX/GBPPGK,Currency Exchange Rates - GBP vs PGK
CURRFX/GBPHRK,Currency Exchange Rates - GBP vs HRK
CURRFX/GBPGTQ,Currency Exchange Rates - GBP vs GTQ
CURRFX/GBPINR,Currency Exchange Rates - GBP vs INR
CURRFX/GBPIRR,Currency Exchange Rates - GBP vs IRR
CURRFX/GBPJMD,Currency Exchange Rates - GBP vs JMD
CURRFX/GBPLBP,Currency Exchange Rates - GBP vs LBP
CURRFX/GBPMVR,Currency Exchange Rates - GBP vs MVR
CURRFX/GBPMDL,Currency Exchange Rates - GBP vs MDL
CURRFX/GBPMRO,Currency Exchange Rates - GBP vs MRO
CURRFX/GBPNGN,Currency Exchange Rates - GBP vs NGN
CURRFX/GBPMZN,Currency Exchange Rates - GBP vs MZN
CURRFX/GBPMYR,Currency Exchange Rates - GBP vs MYR
CURRFX/GBPNOK,Currency Exchange Rates - GBP vs NOK
CURRFX/GBPPHP,Currency Exchange Rates - GBP vs PHP
CURRFX/GBPPAB,Currency Exchange Rates - GBP vs PAB
CURRFX/GBPSHP,Currency Exchange Rates - GBP vs SHP
CURRFX/GBPSBD,Currency Exchange Rates - GBP vs SBD
CURRFX/GBPSCR,Currency Exchange Rates - GBP vs SCR
CURRFX/GBPSZL,Currency Exchange Rates - GBP vs SZL
CURRFX/HTGEUR,Currency Exchange Rates - HTG vs EUR
CURRFX/GBPUGX,Currency Exchange Rates - GBP vs UGX
CURRFX/GBPUSD,Currency Exchange Rates - GBP vs USD
CURRFX/GBPVEF,Currency Exchange Rates - GBP vs VEF
CURRFX/GBPUAH,Currency Exchange Rates - GBP vs UAH
CURRFX/GBPXPF,Currency Exchange Rates - GBP vs XPF
CURRFX/IDRMZN,Currency Exchange Rates - IDR vs MZN
CURRFX/GBPXOF,Currency Exchange Rates - GBP vs XOF
CURRFX/GNFGBP,Currency Exchange Rates - GNF vs GBP
CURRFX/GMDINR,Currency Exchange Rates - GMD vs INR
CURRFX/GNFINR,Currency Exchange Rates - GNF vs INR
CURRFX/GTQCNY,Currency Exchange Rates - GTQ vs CNY
CURRFX/GTQRUB,Currency Exchange Rates - GTQ vs RUB
CURRFX/GTQIDR,Currency Exchange Rates - GTQ vs IDR
CURRFX/GYDGBP,Currency Exchange Rates - GYD vs GBP
CURRFX/HKDINR,Currency Exchange Rates - HKD vs INR
CURRFX/HNLCNY,Currency Exchange Rates - HNL vs CNY
CURRFX/HKDRUB,Currency Exchange Rates - HKD vs RUB
CURRFX/HRKGBP,Currency Exchange Rates - HRK vs GBP
CURRFX/HRKINR,Currency Exchange Rates - HRK vs INR
CURRFX/HUFRUB,Currency Exchange Rates - HUF vs RUB
CURRFX/IDRAFN,Currency Exchange Rates - IDR vs AFN
CURRFX/IDRAZN,Currency Exchange Rates - IDR vs AZN
CURRFX/IDRBIF,Currency Exchange Rates - IDR vs BIF
CURRFX/IDRBAM,Currency Exchange Rates - IDR vs BAM
CURRFX/IDRBRL,Currency Exchange Rates - IDR vs BRL
CURRFX/IDRBDT,Currency Exchange Rates - IDR vs BDT
CURRFX/IDRCNY,Currency Exchange Rates - IDR vs CNY
CURRFX/IDRCAD,Currency Exchange Rates - IDR vs CAD
CURRFX/IDRCDF,Currency Exchange Rates - IDR vs CDF
CURRFX/IDRDOP,Currency Exchange Rates - IDR vs DOP
CURRFX/IDRDKK,Currency Exchange Rates - IDR vs DKK
CURRFX/IDRCVE,Currency Exchange Rates - IDR vs CVE
CURRFX/IDRFKP,Currency Exchange Rates - IDR vs FKP
